Sample	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
A1-PFE-ZSF1	30759453	1.1346	0.9838	 0.0018383	 -0.3322	N
A2-PFE-ZSF1	29840344	1.3225	0.9749	-0.0074070	 -4.4119	N
A3-PFE-ZSF1	30764289	1.1582	0.9840	 0.0019966	 -0.2624	N
A4-PFE-ZSF1	29833632	1.2681	0.9799	-0.0022514	 -2.1369	N
A5-PFE-ZSF1	30108704	1.2935	0.9771	-0.0051833	 -3.4307	N
A6-PFE-ZSF1	29503045	1.2958	0.9804	-0.0017085	 -1.8973	N
A7-PFE-ZSF1	30478665	1.1104	0.9837	 0.0017237	 -0.3828	N
A8-PFE-ZSF1	30422685	1.2286	0.9811	-0.0010476	 -1.6057	N
A9-PFE-ZSF1	31440235	1.0843	0.9824	 0.0003220	 -1.0013	N
A10-PFE-ZSF1	30541179	1.0967	0.9852	 0.0032280	  0.2810	N
B1-PFE-ZSF1	30412124	1.1217	0.9834	 0.0014033	 -0.5242	N
B2-PFE-ZSF1	30397390	1.1057	0.9853	 0.0033390	  0.3300	N
B3-PFE-ZSF1	31452285	1.0181	0.9868	 0.0048713	  1.0061	N
B4-PFE-ZSF1	31217876	1.1242	0.9831	 0.0011138	 -0.6519	N
B5-PFE-ZSF1	31661259	1.0379	0.9857	 0.0037681	  0.5193	N
B6-PFE-ZSF1	30348841	1.2003	0.9837	 0.0016782	 -0.4029	N
B7-PFE-ZSF1	30289012	1.1390	0.9850	 0.0030003	  0.1805	N
B8-PFE-ZSF1	30453469	0.9958	0.9853	 0.0033537	  0.3365	N
B9-PFE-ZSF1	30412261	1.0728	0.9860	 0.0041197	  0.6745	N
B10-PFE-ZSF1	30151807	1.0795	0.9824	 0.0003835	 -0.9742	N
C1-PFE-ZSF1	32684912	0.8656	0.9862	 0.0042800	  0.7452	N
C2-PFE-ZSF1	31578604	0.9625	0.9852	 0.0032601	  0.2952	N
C3-PFE-ZSF1	32170520	0.8940	0.9855	 0.0035912	  0.4413	N
C4-PFE-ZSF1	31383814	1.0815	0.9827	 0.0006421	 -0.8600	N
C5-PFE-ZSF1	32345328	0.9952	0.9842	 0.0021727	 -0.1847	N
C6-PFE-ZSF1	31980819	0.9161	0.9857	 0.0037342	  0.5044	N
C7-PFE-ZSF1	33008223	0.8363	0.9807	-0.0014280	 -1.7736	N
C8-PFE-ZSF1	31911028	0.9991	0.9875	 0.0056380	  1.3445	N
C9-PFE-ZSF1	31860181	0.9159	0.9870	 0.0051383	  1.1240	N
C10-PFE-ZSF1	32151124	0.9615	0.9874	 0.0054981	  1.2828	N
D1-PFE-ZSF1	31420555	1.0326	0.9842	 0.0021892	 -0.1774	N
D2-PFE-ZSF1	31052144	1.0454	0.9853	 0.0033440	  0.3322	N
D3-PFE-ZSF1	31819781	0.9023	0.9857	 0.0037521	  0.5123	N
D4-PFE-ZSF1	31051040	0.9122	0.9854	 0.0034184	  0.3651	N
D5-PFE-ZSF1	31005812	1.0940	0.9802	-0.0019356	 -1.9975	N
D6-PFE-ZSF1	31768221	1.0272	0.9852	 0.0032149	  0.2752	N
D7-PFE-ZSF1	32677068	0.9168	0.9839	 0.0019209	 -0.2958	N
D8-PFE-ZSF1	31981965	1.0223	0.9846	 0.0025912	  0.0000	N
D9-PFE-ZSF1	31615898	1.0710	0.9817	-0.0003603	 -1.3024	N
D10-PFE-ZSF1	32578072	0.9393	0.9857	 0.0037366	  0.5054	N
E1-PFE-ZSF1	32419906	0.9366	0.9854	 0.0034597	  0.3832	N
E2-PFE-ZSF1	31708588	1.1020	0.9851	 0.0031882	  0.2634	N
E3-PFE-ZSF1	31899685	1.1006	0.9861	 0.0041957	  0.7080	N
E4-PFE-ZSF1	31251239	0.9212	0.9872	 0.0053042	  1.1972	N
E5-PFE-ZSF1	32055404	1.0343	0.9876	 0.0056954	  1.3698	N
E6-PFE-ZSF1	32729672	0.6932	0.9589	-0.0240391	-11.7511	Y
E7-PFE-ZSF1	33202477	0.7653	0.9717	-0.0107089	 -5.8689	Y
E8-PFE-ZSF1	32012473	0.8051	0.9750	-0.0073499	 -4.3867	N
E9-PFE-ZSF1	31215272	0.9668	0.9806	-0.0015130	 -1.8111	N
E10-PFE-ZSF1	31766863	0.7800	0.9792	-0.0030205	 -2.4762	N
F1-PFE-ZSF1	32335210	0.9538	0.9859	 0.0039842	  0.6147	N
F2-PFE-ZSF1	31267807	0.9815	0.9857	 0.0037317	  0.5033	N
F3-PFE-ZSF1	31166379	0.9271	0.9860	 0.0041258	  0.6772	N
F4-PFE-ZSF1	31273357	0.8650	0.9855	 0.0036071	  0.4483	N
F6-PFE-ZSF1	32591951	0.8681	0.9664	-0.0162145	 -8.2984	Y
F7-PFE-ZSF1	32743157	0.8305	0.9665	-0.0161692	 -8.2784	Y
F8-PFE-ZSF1	33411368	0.7484	0.9519	-0.0312167	-14.9184	Y
