Sample	subject_id	Type	Week	RIN	Conc	Vol	mass	28S_18S	Remark	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic	Counted_Reads	Norm_Factor	Avg_Corr	Corr_diff	MADScore	isOutlier
A1-PFE-ZSF1	A1-PFE-ZSF1	lean	12	6.7	318	68	21.62	1.4	RIN<7.0	44056012	87.91	8.54	3.55	38728645	79.43	0.94	19.63	100788034	69.39	1.51	12.82	8.99	7.29	30759453	1.1346	0.9838	0.0018383	-0.3322	N
A2-PFE-ZSF1	A2-PFE-ZSF1	lean	12	6.4	437	22	9.61	1.3	RIN<7.0	43997013	88.55	7.61	3.84	38959587	76.6	0.79	22.61	101686901	65.75	1.63	14.44	10.3	7.89	29840344	1.3225	0.9749	-0.007407	-4.4119	N
A3-PFE-ZSF1	A3-PFE-ZSF1	lean	12	6.5	293	66	19.34	1.4	RIN<7.0	43960145	88.15	8.27	3.58	38751699	79.39	0.9	19.7	101070570	69.17	1.53	13.05	8.93	7.32	30764289	1.1582	0.984	0.0019966	-0.2624	N
A4-PFE-ZSF1	A4-PFE-ZSF1	lean	12	6.8	222	55	12.21	1.4	RIN<7.0	44071606	88.2	7.91	3.89	38870349	76.76	0.83	22.41	100989593	66.58	1.54	13.76	10.42	7.69	29833632	1.2681	0.9799	-0.0022514	-2.1369	N
A5-PFE-ZSF1	A5-PFE-ZSF1	lean	12	6	469	27	12.66	1.2	RIN<7.0	43803271	88.32	7.87	3.81	38686587	77.83	0.82	21.35	100926642	66.12	1.55	15.29	8.97	8.07	30108704	1.2935	0.9771	-0.0051833	-3.4307	N
A6-PFE-ZSF1	A6-PFE-ZSF1	obese	12	6.7	392	66	25.87	1.3	RIN<7.0	43162737	88.04	7.76	4.2	37998356	77.65	0.84	21.51	99890518	66.9	1.68	14.29	9.58	7.55	29503045	1.2958	0.9804	-0.0017085	-1.8973	N
A7-PFE-ZSF1	A7-PFE-ZSF1	obese	12	6.5	437	66	28.84	1.4	RIN<7.0	43143189	87.56	8.67	3.77	37777564	80.68	1.03	18.29	98852013	70.2	1.46	13.22	8.03	7.09	30478665	1.1104	0.9837	0.0017237	-0.3828	N
A8-PFE-ZSF1	A8-PFE-ZSF1	obese	12	6.4	348	63	21.92	1.2	RIN<7.0	44067029	87.18	7.97	4.85	38418169	79.19	0.9	19.91	100837861	68.4	1.76	13.77	8.71	7.36	30422685	1.2286	0.9811	-0.0010476	-1.6057	N
A9-PFE-ZSF1	A9-PFE-ZSF1	obese	12	6.6	415	62	25.73	1.3	RIN<7.0	45084570	85.98	8.59	5.43	38762864	81.11	1.09	17.79	101107035	70.96	1.51	12.68	7.9	6.95	31440235	1.0843	0.9824	0.000322	-1.0013	N
A10-PFE-ZSF1	A10-PFE-ZSF1	obese	12	6.4	366	62	22.69	1.4	RIN<7.0	44058481	86.55	8.48	4.97	38132949	80.09	1.06	18.84	99345611	70.21	1.52	12.69	8.53	7.06	30541179	1.0967	0.9852	0.003228	0.281	N
B1-PFE-ZSF1	B1-PFE-ZSF1	lean	20	6.7	102	28	2.86	1.4	RIN<7.0	43999188	86.03	8.39	5.58	37851277	80.35	0.98	18.68	98573209	69.57	1.62	13.34	7.83	7.64	30412124	1.1217	0.9834	0.0014033	-0.5242	N
B2-PFE-ZSF1	B2-PFE-ZSF1	lean	20	6.5	187	25	4.68	1.4	RIN<7.0	44053147	86.07	8.46	5.47	37916433	80.17	0.99	18.84	98670242	69.69	1.58	13.17	8.03	7.53	30397390	1.1057	0.9853	0.003339	0.33	N
B3-PFE-ZSF1	B3-PFE-ZSF1	lean	20	6.3	216	29	6.26	1.3	RIN<7.0	44820204	85.1	8.95	5.95	38141594	82.46	1.1	16.44	99329618	71.86	1.48	12.67	6.75	7.24	31452285	1.0181	0.9868	0.0048713	1.0061	N
B4-PFE-ZSF1	B4-PFE-ZSF1	lean	20	6.3	228	29	6.61	1.4	RIN<7.0	44796684	86.56	8.45	4.99	38775912	80.51	1	18.49	100782513	69.38	1.58	13.8	7.51	7.73	31217876	1.1242	0.9831	0.0011138	-0.6519	N
B5-PFE-ZSF1	B5-PFE-ZSF1	lean	20	6.2	361	30	10.83	1.4	RIN<7.0	44667640	86.7	9.02	4.28	38725443	81.76	1.05	17.19	100452867	71.36	1.51	12.65	7.12	7.37	31661259	1.0379	0.9857	0.0037681	0.5193	N
B6-PFE-ZSF1	B6-PFE-ZSF1	obese	20	6.3	497	29	14.41	1.1	RIN<7.0	43805551	86.79	8.41	4.8	38020600	79.83	0.95	19.22	99447542	68.85	1.67	13.92	7.97	7.59	30348841	1.2003	0.9837	0.0016782	-0.4029	N
B7-PFE-ZSF1	B7-PFE-ZSF1	obese	20	6.6	356	48	17.09	1.2	RIN<7.0	43777282	86.18	8.39	5.43	37725347	80.29	0.98	18.72	98446021	69.33	1.57	13.94	7.62	7.55	30289012	1.139	0.985	0.0030003	0.1805	N
