Sample	Total_Tags	CDS_Exon	5UTR_Exon	3UTR_Exon	Introns	Intergenic
A1-PFE-ZSF1	100788034	69.39	1.51	12.82	8.99	7.29
A2-PFE-ZSF1	101686901	65.75	1.63	14.44	10.30	7.89
A3-PFE-ZSF1	101070570	69.17	1.53	13.05	8.93	7.32
A4-PFE-ZSF1	100989593	66.58	1.54	13.76	10.42	7.69
A5-PFE-ZSF1	100926642	66.12	1.55	15.29	8.97	8.07
A6-PFE-ZSF1	99890518	66.90	1.68	14.29	9.58	7.55
A7-PFE-ZSF1	98852013	70.20	1.46	13.22	8.03	7.09
A8-PFE-ZSF1	100837861	68.40	1.76	13.77	8.71	7.36
A9-PFE-ZSF1	101107035	70.96	1.51	12.68	7.90	6.95
A10-PFE-ZSF1	99345611	70.21	1.52	12.69	8.53	7.06
B1-PFE-ZSF1	98573209	69.57	1.62	13.34	7.83	7.64
B2-PFE-ZSF1	98670242	69.69	1.58	13.17	8.03	7.53
B3-PFE-ZSF1	99329618	71.86	1.48	12.67	6.75	7.24
B4-PFE-ZSF1	100782513	69.38	1.58	13.80	7.51	7.73
B5-PFE-ZSF1	100452867	71.36	1.51	12.65	7.12	7.37
B6-PFE-ZSF1	99447542	68.85	1.67	13.92	7.97	7.59
B7-PFE-ZSF1	98446021	69.33	1.57	13.94	7.62	7.55
B8-PFE-ZSF1	96060124	71.97	1.38	12.73	6.73	7.18
B9-PFE-ZSF1	97554487	70.31	1.47	13.31	7.44	7.47
B10-PFE-ZSF1	97510017	69.61	1.47	13.52	7.97	7.43
C1-PFE-ZSF1	98743608	75.33	1.37	11.38	4.94	6.98
C2-PFE-ZSF1	97747676	73.76	1.45	12.41	5.22	7.17
C3-PFE-ZSF1	97356369	75.55	1.42	11.59	4.58	6.85
C4-PFE-ZSF1	99984020	70.71	1.73	13.64	6.33	7.58
C5-PFE-ZSF1	100495032	73.30	1.58	13.20	4.65	7.27
C6-PFE-ZSF1	97710516	75.07	1.44	11.68	5.07	6.74
C7-PFE-ZSF1	99291307	76.34	1.26	11.27	4.67	6.47
C8-PFE-ZSF1	99819661	73.25	1.51	12.52	5.69	7.03
C9-PFE-ZSF1	97558028	74.20	1.30	12.05	5.45	7.00
C10-PFE-ZSF1	99990329	73.84	1.41	11.90	5.94	6.91
D1-PFE-ZSF1	99790065	71.70	1.59	12.75	6.44	7.51
D2-PFE-ZSF1	99252543	71.28	1.49	12.63	7.12	7.49
D3-PFE-ZSF1	97851756	74.25	1.37	11.37	5.86	7.14
D4-PFE-ZSF1	96297925	73.28	1.34	11.69	6.41	7.28
D5-PFE-ZSF1	100146537	70.10	1.60	12.95	7.71	7.64
D6-PFE-ZSF1	100055350	72.77	1.48	12.45	6.26	7.04
D7-PFE-ZSF1	99711759	74.90	1.32	12.05	4.86	6.87
D8-PFE-ZSF1	100562430	72.00	1.44	12.81	6.44	7.31
D9-PFE-ZSF1	101144910	70.69	1.43	13.72	6.35	7.81
D10-PFE-ZSF1	100061606	74.69	1.44	11.71	5.49	6.67
E1-PFE-ZSF1	99482286	74.16	1.41	11.91	5.43	7.08
E2-PFE-ZSF1	101493005	70.76	1.46	13.54	6.71	7.53
E3-PFE-ZSF1	101706936	71.21	1.57	13.36	6.51	7.36
E4-PFE-ZSF1	95995091	74.27	1.33	11.59	5.80	7.02
E5-PFE-ZSF1	100983484	72.26	1.47	12.73	6.31	7.22
E6-PFE-ZSF1	95298265	78.90	1.03	10.29	3.77	6.01
E7-PFE-ZSF1	97573659	78.59	1.15	10.13	4.14	6.00
E8-PFE-ZSF1	95492061	77.34	1.26	10.76	4.45	6.20
E9-PFE-ZSF1	97047321	74.57	1.36	11.50	5.98	6.59
E10-PFE-ZSF1	94372296	77.53	1.11	9.97	5.12	6.27
F1-PFE-ZSF1	99573306	74.23	1.39	11.95	5.42	7.02
F2-PFE-ZSF1	97446056	73.54	1.42	11.92	6.01	7.11
F3-PFE-ZSF1	96444695	74.01	1.39	11.27	6.39	6.94
F4-PFE-ZSF1	95315044	75.18	1.31	10.66	6.14	6.71
F6-PFE-ZSF1	98754949	77.10	1.36	10.54	5.00	6.00
F7-PFE-ZSF1	98001885	77.42	1.26	10.72	4.50	6.10
F8-PFE-ZSF1	98271164	79.12	1.11	9.69	4.16	5.91
