Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
A1-PFE-ZSF1	38728645	79.43	 0.94	19.63
A2-PFE-ZSF1	38959587	76.60	 0.79	22.61
A3-PFE-ZSF1	38751699	79.39	 0.90	19.70
A4-PFE-ZSF1	38870349	76.76	 0.83	22.41
A5-PFE-ZSF1	38686587	77.83	 0.82	21.35
A6-PFE-ZSF1	37998356	77.65	 0.84	21.51
A7-PFE-ZSF1	37777564	80.68	 1.03	18.29
A8-PFE-ZSF1	38418169	79.19	 0.90	19.91
A9-PFE-ZSF1	38762864	81.11	 1.09	17.79
A10-PFE-ZSF1	38132949	80.09	 1.06	18.84
B1-PFE-ZSF1	37851277	80.35	 0.98	18.68
B2-PFE-ZSF1	37916433	80.17	 0.99	18.84
B3-PFE-ZSF1	38141594	82.46	 1.10	16.44
B4-PFE-ZSF1	38775912	80.51	 1.00	18.49
B5-PFE-ZSF1	38725443	81.76	 1.05	17.19
B6-PFE-ZSF1	38020600	79.83	 0.95	19.22
B7-PFE-ZSF1	37725347	80.29	 0.98	18.72
B8-PFE-ZSF1	36985651	82.34	 1.16	16.50
B9-PFE-ZSF1	37575038	80.94	 1.06	18.00
B10-PFE-ZSF1	37602171	80.19	 1.05	18.76
C1-PFE-ZSF1	38152587	85.67	 1.18	13.15
C2-PFE-ZSF1	37344879	84.56	 1.12	14.32
C3-PFE-ZSF1	37352882	86.13	 1.18	12.69
C4-PFE-ZSF1	38122652	82.33	 0.97	16.71
C5-PFE-ZSF1	38069141	84.97	 1.08	13.96
C6-PFE-ZSF1	37461877	85.37	 1.30	13.33
C7-PFE-ZSF1	38151924	86.52	 1.29	12.19
C8-PFE-ZSF1	38004891	83.97	 1.11	14.93
C9-PFE-ZSF1	37631648	84.67	 1.20	14.14
C10-PFE-ZSF1	38260159	84.04	 1.11	14.86
D1-PFE-ZSF1	38117642	82.43	 1.07	16.49
D2-PFE-ZSF1	38024048	81.67	 1.06	17.28
D3-PFE-ZSF1	37786795	84.21	 1.14	14.65
D4-PFE-ZSF1	37274239	83.31	 1.18	15.51
D5-PFE-ZSF1	38438641	80.67	 0.98	18.35
D6-PFE-ZSF1	38148088	83.28	 1.15	15.57
D7-PFE-ZSF1	38159739	85.64	 1.22	13.14
D8-PFE-ZSF1	38605712	82.85	 1.04	16.11
D9-PFE-ZSF1	38507062	82.11	 1.05	16.84
D10-PFE-ZSF1	38330663	85.00	 1.23	13.78
E1-PFE-ZSF1	38272011	84.71	 1.16	14.13
E2-PFE-ZSF1	38730124	81.87	 0.97	17.16
E3-PFE-ZSF1	38724763	82.38	 0.98	16.64
E4-PFE-ZSF1	37025391	84.41	 1.14	14.45
E5-PFE-ZSF1	38619013	83.01	 1.03	15.96
E6-PFE-ZSF1	36899743	88.70	 1.40	 9.90
E7-PFE-ZSF1	37617305	88.27	 1.30	10.43
E8-PFE-ZSF1	36673201	87.30	 1.33	11.38
E9-PFE-ZSF1	36946241	84.49	 1.20	14.31
E10-PFE-ZSF1	36607408	86.78	 1.26	11.96
F1-PFE-ZSF1	38112568	84.84	 1.07	14.08
F2-PFE-ZSF1	37305917	83.82	 1.10	15.09
F3-PFE-ZSF1	37186461	83.81	 1.13	15.06
F4-PFE-ZSF1	36992230	84.54	 1.22	14.23
F6-PFE-ZSF1	37596396	86.69	 1.29	12.01
F7-PFE-ZSF1	37485855	87.35	 1.26	11.38
F8-PFE-ZSF1	37829715	88.32	 1.39	10.29
