Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
A1-PFE-ZSF1	44056012	87.91	8.54	 3.55
A2-PFE-ZSF1	43997013	88.55	7.61	 3.84
A3-PFE-ZSF1	43960145	88.15	8.27	 3.58
A4-PFE-ZSF1	44071606	88.20	7.91	 3.89
A5-PFE-ZSF1	43803271	88.32	7.87	 3.81
A6-PFE-ZSF1	43162737	88.04	7.76	 4.20
A7-PFE-ZSF1	43143189	87.56	8.67	 3.77
A8-PFE-ZSF1	44067029	87.18	7.97	 4.85
A9-PFE-ZSF1	45084570	85.98	8.59	 5.43
A10-PFE-ZSF1	44058481	86.55	8.48	 4.97
B1-PFE-ZSF1	43999188	86.03	8.39	 5.58
B2-PFE-ZSF1	44053147	86.07	8.46	 5.47
B3-PFE-ZSF1	44820204	85.10	8.95	 5.95
B4-PFE-ZSF1	44796684	86.56	8.45	 4.99
B5-PFE-ZSF1	44667640	86.70	9.02	 4.28
B6-PFE-ZSF1	43805551	86.79	8.41	 4.80
B7-PFE-ZSF1	43777282	86.18	8.39	 5.43
B8-PFE-ZSF1	43691296	84.65	9.17	 6.18
B9-PFE-ZSF1	43715260	85.95	8.90	 5.15
B10-PFE-ZSF1	43787800	85.87	8.63	 5.50
C1-PFE-ZSF1	44752267	85.25	9.89	 4.86
C2-PFE-ZSF1	43527827	85.80	9.56	 4.64
C3-PFE-ZSF1	43959376	84.97	10.04	 4.99
C4-PFE-ZSF1	44054439	86.54	8.55	 4.91
C5-PFE-ZSF1	44957287	84.68	9.48	 5.84
C6-PFE-ZSF1	43902165	85.33	9.78	 4.89
C7-PFE-ZSF1	45009887	84.76	10.06	 5.18
C8-PFE-ZSF1	44179244	86.02	9.26	 4.72
C9-PFE-ZSF1	43889755	85.74	9.89	 4.37
C10-PFE-ZSF1	44320813	86.33	9.41	 4.26
D1-PFE-ZSF1	44068239	86.50	9.07	 4.43
D2-PFE-ZSF1	44271897	85.89	9.09	 5.02
D3-PFE-ZSF1	44006501	85.87	9.76	 4.37
D4-PFE-ZSF1	43748899	85.20	9.77	 5.03
D5-PFE-ZSF1	44372391	86.63	8.57	 4.80
D6-PFE-ZSF1	44447878	85.83	9.40	 4.77
D7-PFE-ZSF1	44588076	85.58	10.12	 4.30
D8-PFE-ZSF1	44643372	86.48	9.18	 4.34
D9-PFE-ZSF1	44795689	85.96	9.85	 4.19
D10-PFE-ZSF1	44696164	85.76	9.77	 4.47
E1-PFE-ZSF1	44694504	85.63	9.61	 4.76
E2-PFE-ZSF1	44658916	86.72	8.60	 4.68
E3-PFE-ZSF1	44687559	86.66	8.62	 4.72
E4-PFE-ZSF1	43473996	85.17	9.70	 5.13
E5-PFE-ZSF1	44737301	86.32	9.00	 4.68
E6-PFE-ZSF1	43589135	84.65	10.81	 4.54
E7-PFE-ZSF1	44429905	84.67	10.85	 4.48
E8-PFE-ZSF1	42952804	85.38	10.49	 4.13
E9-PFE-ZSF1	43752076	84.44	9.78	 5.78
E10-PFE-ZSF1	42963395	85.21	10.72	 4.07
F1-PFE-ZSF1	44220226	86.19	9.72	 4.09
F2-PFE-ZSF1	43893197	84.99	9.31	 5.70
F3-PFE-ZSF1	43831597	84.84	9.45	 5.71
F4-PFE-ZSF1	43779390	84.50	10.14	 5.36
F6-PFE-ZSF1	43865772	85.71	10.31	 3.98
F7-PFE-ZSF1	43891699	85.41	10.30	 4.29
F8-PFE-ZSF1	44626239	84.77	11.05	 4.18
